date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:12	582/582	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Thu,%2002%20Feb%202017%2009:21:12%20GMT	http://dinosaur.compilertools.net/robots.txt		(from )
10:21:13	1980/1980	---MCZ	200	added ('OK')	text/html	etag:W/%227bc-41022ccdfe3c0%22	http://dinosaur.compilertools.net/flex/	dinosaur.compilertools.net/flex/index.html	(from )
10:21:13	1886/1886	---MCZ	200	added ('OK')	text/html	etag:W/%2275e-41022cbbdf900%22	http://dinosaur.compilertools.net/flex/flex_1.html	dinosaur.compilertools.net/flex/flex_1.html	(from http://dinosaur.compilertools.net/flex/)
10:21:13	828/828	---MCZ	200	added ('OK')	text/html	etag:W/%2233c-41022cc380b00%22	http://dinosaur.compilertools.net/flex/flex_2.html	dinosaur.compilertools.net/flex/flex_2.html	(from http://dinosaur.compilertools.net/flex/)
10:21:13	2554/2554	---MCZ	200	added ('OK')	text/html	etag:W/%229fa-41022cc939880%22	http://dinosaur.compilertools.net/flex/flex_3.html	dinosaur.compilertools.net/flex/flex_3.html	(from http://dinosaur.compilertools.net/flex/)
10:21:14	1460/1460	---MCZ	200	added ('OK')	text/html	etag:W/%225b4-41022cca2dac0%22	http://dinosaur.compilertools.net/flex/flex_4.html	dinosaur.compilertools.net/flex/flex_4.html	(from http://dinosaur.compilertools.net/flex/)
10:21:14	3608/3608	---MCZ	200	added ('OK')	text/html	etag:W/%22e18-41022cca2dac0%22	http://dinosaur.compilertools.net/flex/flex_5.html	dinosaur.compilertools.net/flex/flex_5.html	(from http://dinosaur.compilertools.net/flex/)
10:21:14	3641/3641	---MCZ	200	added ('OK')	text/html	etag:W/%22e39-41022ccb21d00%22	http://dinosaur.compilertools.net/flex/flex_6.html	dinosaur.compilertools.net/flex/flex_6.html	(from http://dinosaur.compilertools.net/flex/)
10:21:14	8684/8684	---MCZ	200	added ('OK')	text/html	etag:W/%2221ec-41022ccc15f40%22	http://dinosaur.compilertools.net/flex/flex_7.html	dinosaur.compilertools.net/flex/flex_7.html	(from http://dinosaur.compilertools.net/flex/)
10:21:14	4449/4449	---MCZ	200	added ('OK')	text/html	etag:W/%221161-41022ccc15f40%22	http://dinosaur.compilertools.net/flex/flex_8.html	dinosaur.compilertools.net/flex/flex_8.html	(from http://dinosaur.compilertools.net/flex/)
